Security,GICS Sub-Industry,Headquarters Location
Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia"
Dominion Energy,Multi-Utilities,"Richmond, Virginia"
Domino's,Restaurants,"Ann Arbor, Michigan"
Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois"
Dow Inc.,Commodity Chemicals,"Midland, Michigan"
DR Horton,Homebuilding,"Arlington, Texas"
DTE Energy,Multi-Utilities,"Detroit, Michigan"
Duke Energy,Electric Utilities,"Charlotte, North Carolina"
DuPont,Specialty Chemicals,"Wilmington, Delaware"
Eastman Chemical Company,Specialty Chemicals,"Kingsport, Tennessee"
Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland"
eBay,Broadline Retail,"San Jose, California"
Ecolab,Specialty Chemicals,"Saint Paul, Minnesota"
Edison International,Electric Utilities,"Rosemead, California"
Edwards Lifesciences,Health Care Equipment,"Irvine, California"
Electronic Arts,Interactive Home Entertainment,"Redwood City, California"
Elevance Health,Managed Health Care,"Indianapolis, Indiana"
Eli Lilly and Company,Pharmaceuticals,"Indianapolis, Indiana"
Emerson Electric,Electrical Components & Equipment,"Ferguson, Missouri"
Enphase,Semiconductor Materials & Equipment,"Fremont, California"
Entergy,Electric Utilities,"New Orleans, Louisiana"
EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas"
EPAM Systems,IT Consulting & Other Services,"Newtown, Pennsylvania"
EQT Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
Equifax,Research & Consulting Services,"Atlanta, Georgia"
Equinix,Data Center REITs,"Redwood City, California"
Equity Residential,Multi-Family Residential REITs,"Chicago, Illinois"
Essex Property Trust,Multi-Family Residential REITs,"San Mateo, California"
Estée Lauder Companies (The),Personal Care Products,"New York City, New York"
Etsy,Broadline Retail,"New York City, New York"
Everest Re,Reinsurance,"Hamilton, Bermuda"
Evergy,Electric Utilities,"Kansas City, Missouri"
Eversource,Electric Utilities,"Hartford, Connecticut"
Exelon,Electric Utilities,"Chicago, Illinois"
Expedia Group,"Hotels, Resorts & Cruise Lines","Seattle, Washington"
Expeditors International,Air Freight & Logistics,"Seattle, Washington"
Extra Space Storage,Self-Storage REITs,"Salt Lake City, Utah"
ExxonMobil,Integrated Oil & Gas,"Irving, Texas"
"F5, Inc.",Communications Equipment,"Seattle, Washington"
FactSet,Financial Exchanges & Data,"Norwalk, Connecticut"
Fair Isaac,Application Software,"Bozeman, Montana"
Fastenal,Trading Companies & Distributors,"Winona, Minnesota"
Federal Realty,Retail REITs,"Rockville, Maryland"
FedEx,Air Freight & Logistics,"Memphis, Tennessee"
Fidelity National Information Services,Transaction & Payment Processing Services,"Jacksonville, Florida"
Fifth Third Bank,Diversified Banks,"Cincinnati, Ohio"
First Solar,Semiconductors,"Tempe, Arizona"
FirstEnergy,Electric Utilities,"Akron, Ohio"
Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin"
FMC Corporation,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
Ford Motor Company,Automobile Manufacturers,"Dearborn, Michigan"
Fortinet,Systems Software,"Sunnyvale, California"
Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington"
Fox Corporation (Class A),Broadcasting,"New York City, New York"
Fox Corporation (Class B),Broadcasting,"New York City, New York"
Franklin Templeton,Asset Management & Custody Banks,"San Mateo, California"
Freeport-McMoRan,Copper,"Phoenix, Arizona"
Garmin,Consumer Electronics,"Schaffhausen, Switzerland"
Gartner,IT Consulting & Other Services,"Stamford, Connecticut"
GE Aerospace,Aerospace & Defense,"Evendale, Ohio"
GE HealthCare,Health Care Equipment,"Chicago, Illinois"
GE Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts"
Gen Digital,Systems Software,"Tempe, Arizona"
Generac,Electrical Components & Equipment,"Waukesha, Wisconsin"
General Dynamics,Aerospace & Defense,"Falls Church, Virginia"
General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota"
General Motors,Automobile Manufacturers,"Detroit, Michigan"
Genuine Parts Company,Distributors,"Atlanta, Georgia"
Gilead Sciences,Biotechnology,"Foster City, California"
Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia"
Globe Life,Life & Health Insurance,"McKinney, Texas"
Goldman Sachs,Investment Banking & Brokerage,"New York City, New York"
Halliburton,Oil & Gas Equipment & Services,"Houston, Texas"
Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut"
Hasbro,Leisure Products,"Pawtucket, Rhode Island"
HCA Healthcare,Health Care Facilities,"Nashville, Tennessee"
Healthpeak,Health Care REITs,"Denver, Colorado"
Henry Schein,Health Care Distributors,"Melville, New York"
Hershey's,Packaged Foods & Meats,"Hershey, Pennsylvania"
Hess Corporation,Integrated Oil & Gas,"New York City, New York"
Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas"
Hilton Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
Hologic,Health Care Equipment,"Marlborough, Massachusetts"
Home Depot (The),Home Improvement Retail,"Atlanta, Georgia"
Honeywell,Industrial Conglomerates,"Charlotte, North Carolina"
Hormel Foods,Packaged Foods & Meats,"Austin, Minnesota"
Host Hotels & Resorts,Hotel & Resort REITs,"Bethesda, Maryland"
Howmet Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania"
HP Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
Hubbell Incorporated,Industrial Machinery & Supplies & Components,"Shelton, Connecticut"
Humana,Managed Health Care,"Louisville, Kentucky"
Huntington Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan"
Huntington Ingalls Industries,Aerospace & Defense,"Newport News, Virginia"
IBM,IT Consulting & Other Services,"Armonk, New York"
IDEX Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
Idexx Laboratories,Health Care Equipment,"Westbrook, Maine"
Illinois Tool Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois"
Illumina,Life Sciences Tools & Services,"San Diego, California"
Incyte,Biotechnology,"Wilmington, Delaware"
Ingersoll Rand,Industrial Machinery & Supplies & Components,"Davidson, North Carolina"
Insulet,Health Care Equipment,"Acton, Massachusetts"
Intel,Semiconductors,"Santa Clara, California"
Intercontinental Exchange,Financial Exchanges & Data,"Atlanta, Georgia"
International Flavors & Fragrances,Specialty Chemicals,"New York City, New York"
International Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
Interpublic Group of Companies (The),Advertising,"New York City, New York"
Intuit,Application Software,"Mountain View, California"
Intuitive Surgical,Health Care Equipment,"Sunnyvale, California"
Invesco,Asset Management & Custody Banks,"Atlanta, Georgia"
Invitation Homes,Single-Family Residential REITs,"Dallas, Texas"
IQVIA,Life Sciences Tools & Services,"Durham, North Carolina"
Iron Mountain,Other Specialized REITs,"Boston, Massachusetts"
J.B. Hunt,Cargo Ground Transportation,"Lowell, Arkansas"
Jabil,Electronic Manufacturing Services,"St. Petersburg, Florida"
Jack Henry & Associates,Transaction & Payment Processing Services,"Monett, Missouri"
Jacobs Solutions,Construction & Engineering,"Dallas, Texas"
Johnson & Johnson,Pharmaceuticals,"New Brunswick, New Jersey"
Johnson Controls,Building Products,"Cork, Ireland"
JPMorgan Chase,Diversified Banks,"New York City, New York"
Juniper Networks,Communications Equipment,"Sunnyvale, California"
Kellanova,Packaged Foods & Meats,"Chicago, Illinois"
Kenvue,Personal Care Products,"Skillman, New Jersey"
Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts"
KeyCorp,Regional Banks,"Cleveland, Ohio"
Keysight,Electronic Equipment & Instruments,"Santa Rosa, California"
Kimberly-Clark,Household Products,"Irving, Texas"
Kimco Realty,Retail REITs,"New Hyde Park, New York"
Kinder Morgan,Oil & Gas Storage & Transportation,"Houston, Texas"
KLA Corporation,Semiconductor Materials & Equipment,"Milpitas, California"
Kraft Heinz,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
Kroger,Food Retail,"Cincinnati, Ohio"
L3Harris,Aerospace & Defense,"Melbourne, Florida"
LabCorp,Health Care Services,"Burlington, North Carolina"
Lam Research,Semiconductor Materials & Equipment,"Fremont, California"
Lamb Weston,Packaged Foods & Meats,"Eagle, Idaho"
Las Vegas Sands,Casinos & Gaming,"Las Vegas, Nevada"
Leidos,Diversified Support Services,"Reston, Virginia"
Lennar,Homebuilding,"Miami, Florida"
Linde plc,Industrial Gases,"Guildford, United Kingdom"
Live Nation Entertainment,Movies & Entertainment,"Beverly Hills, California"
LKQ Corporation,Distributors,"Chicago, Illinois"
Lockheed Martin,Aerospace & Defense,"Bethesda, Maryland"
Loews Corporation,Multi-line Insurance,"New York City, New York"
Lowe's,Home Improvement Retail,"Mooresville, North Carolina"
Lululemon Athletica,"Apparel, Accessories & Luxury Goods","Vancouver, Canada"
LyondellBasell,Specialty Chemicals,"Rotterdam, Netherlands"
M&T Bank,Regional Banks,"Buffalo, New York"
Marathon Oil,Oil & Gas Exploration & Production,"Houston, Texas"
Marathon Petroleum,Oil & Gas Refining & Marketing,"Findlay, Ohio"
MarketAxess,Financial Exchanges & Data,"New York City, New York"
Marriott International,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
Marsh McLennan,Insurance Brokers,"New York City, New York"
Martin Marietta Materials,Construction Materials,"Raleigh, North Carolina"
Masco,Building Products,"Livonia, Michigan"
Mastercard,Transaction & Payment Processing Services,"Harrison, New York"
Match Group,Interactive Media & Services,"Dallas, Texas"
McCormick & Company,Packaged Foods & Meats,"Hunt Valley, Maryland"
McDonald's,Restaurants,"Chicago, Illinois"
McKesson Corporation,Health Care Distributors,"Irving, Texas"
Medtronic,Health Care Equipment,"Dublin, Ireland"
Merck & Co.,Pharmaceuticals,"Kenilworth, New Jersey"
Meta Platforms,Interactive Media & Services,"Menlo Park, California"
MetLife,Life & Health Insurance,"New York City, New York"
Mettler Toledo,Life Sciences Tools & Services,"Columbus, Ohio"
MGM Resorts,Casinos & Gaming,"Paradise, Nevada"
Microchip Technology,Semiconductors,"Chandler, Arizona"
Micron Technology,Semiconductors,"Boise, Idaho"
Microsoft,Systems Software,"Redmond, Washington"
Mid-America Apartment Communities,Multi-Family Residential REITs,"Memphis, Tennessee"
Moderna,Biotechnology,"Cambridge, Massachusetts"
Mohawk Industries,Home Furnishings,"Calhoun, Georgia"
Molina Healthcare,Managed Health Care,"Long Beach, California"
Molson Coors Beverage Company,Brewers,"Chicago, Illinois"
Mondelez International,Packaged Foods & Meats,"Chicago, Illinois"
Monolithic Power Systems,Semiconductors,"Kirkland, Washington"
Monster Beverage,Soft Drinks & Non-alcoholic Beverages,"Corona, California"
Moody's Corporation,Financial Exchanges & Data,"New York City, New York"
Morgan Stanley,Investment Banking & Brokerage,"New York City, New York"
Mosaic Company (The),Fertilizers & Agricultural Chemicals,"Tampa, Florida"
Motorola Solutions,Communications Equipment,"Chicago, Illinois"
MSCI,Financial Exchanges & Data,"New York City, New York"
"Nasdaq, Inc.",Financial Exchanges & Data,"New York City, New York"
NetApp,"Technology Hardware, Storage & Peripherals","San Jose, California"
Netflix,Movies & Entertainment,"Los Gatos, California"
Newmont,Gold,"Denver, Colorado"
News Corp (Class A),Publishing,"New York City, New York"
News Corp (Class B),Publishing,"New York City, New York"
NextEra Energy,Multi-Utilities,"Juno Beach, Florida"
"Nike, Inc.","Apparel, Accessories & Luxury Goods","Washington County, Oregon"
NiSource,Multi-Utilities,"Merrillville, Indiana"
Nordson Corporation,Industrial Machinery & Supplies & Components,"Westlake, Ohio"
Norfolk Southern Railway,Rail Transportation,"Atlanta, Georgia"
Northern Trust,Asset Management & Custody Banks,"Chicago, Illinois"
Northrop Grumman,Aerospace & Defense,"West Falls Church, Virginia"
Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines","Miami, Florida"
NRG Energy,Independent Power Producers & Energy Traders,"Houston, Texas"
Nucor,Steel,"Charlotte, North Carolina"
Nvidia,Semiconductors,"Santa Clara, California"
"NVR, Inc.",Homebuilding,"Reston, Virginia"
NXP Semiconductors,Semiconductors,"Eindhoven, Netherlands"
O'Reilly Auto Parts,Automotive Retail,"Springfield, Missouri"
Occidental Petroleum,Oil & Gas Exploration & Production,"Houston, Texas"
Old Dominion,Cargo Ground Transportation,"Thomasville, North Carolina"
Omnicom Group,Advertising,"New York City, New York"
ON Semiconductor,Semiconductors,"Phoenix, Arizona"
ONEOK,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
Oracle Corporation,Application Software,"Austin, Texas"
Otis Worldwide,Industrial Machinery & Supplies & Components,"Farmington, Connecticut"
Paccar,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington"
Packaging Corporation of America,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois"
Palo Alto Networks,Systems Software,"Santa Clara, California"
Paramount Global,Movies & Entertainment,"New York City, New York"
Parker Hannifin,Industrial Machinery & Supplies & Components,"Cleveland, Ohio"
