Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers
eBay,Broadline Retail,"San Jose, California",False
Ecolab,Specialty Chemicals,"Saint Paul, Minnesota",False
Edison International,Electric Utilities,"Rosemead, California",False
Edwards Lifesciences,Health Care Equipment,"Irvine, California",False
Electronic Arts,Interactive Home Entertainment,"Redwood City, California",False
Elevance Health,Managed Health Care,"Indianapolis, Indiana",False
Eli Lilly and Company,Pharmaceuticals,"Indianapolis, Indiana",False
Emerson Electric,Electrical Components & Equipment,"Ferguson, Missouri",False
Enphase,Semiconductor Materials & Equipment,"Fremont, California",False
Entergy,Electric Utilities,"New Orleans, Louisiana",False
EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas",False
EQT Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",False
Equifax,Research & Consulting Services,"Atlanta, Georgia",False
Estée Lauder Companies (The),Personal Care Products,"New York City, New York",False
Etsy,Broadline Retail,"New York City, New York",False
Everest Re,Reinsurance,"Hamilton, Bermuda",False
Evergy,Electric Utilities,"Kansas City, Missouri",False
Eversource,Electric Utilities,"Hartford, Connecticut",False
Exelon,Electric Utilities,"Chicago, Illinois",False
Expedia Group,"Hotels, Resorts & Cruise Lines","Seattle, Washington",False
Expeditors International,Air Freight & Logistics,"Seattle, Washington",False
ExxonMobil,Integrated Oil & Gas,"Irving, Texas",False
"F5, Inc.",Communications Equipment,"Seattle, Washington",False
FactSet,Financial Exchanges & Data,"Norwalk, Connecticut",False
Fastenal,Trading Companies & Distributors,"Winona, Minnesota",False
FedEx,Air Freight & Logistics,"Memphis, Tennessee",False
Fidelity National Information Services,Transaction & Payment Processing Services,"Jacksonville, Florida",False
Fifth Third Bank,Diversified Banks,"Cincinnati, Ohio",False
First Solar,Semiconductors,"Tempe, Arizona",False
FirstEnergy,Electric Utilities,"Akron, Ohio",False
Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin",False
FMC Corporation,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",False
Ford Motor Company,Automobile Manufacturers,"Dearborn, Michigan",False
Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington",False
Fox Corporation (Class A),Broadcasting,"New York City, New York",False
Fox Corporation (Class B),Broadcasting,"New York City, New York",False
Franklin Templeton,Asset Management & Custody Banks,"San Mateo, California",False
Freeport-McMoRan,Copper,"Phoenix, Arizona",False
Garmin,Consumer Electronics,"Schaffhausen, Switzerland",False
GE Aerospace,Aerospace & Defense,"Evendale, Ohio",False
GE HealthCare,Health Care Equipment,"Chicago, Illinois",False
GE Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts",False
Generac,Electrical Components & Equipment,"Waukesha, Wisconsin",False
General Dynamics,Aerospace & Defense,"Falls Church, Virginia",False
General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota",False
General Motors,Automobile Manufacturers,"Detroit, Michigan",False
Genuine Parts Company,Distributors,"Atlanta, Georgia",False
Gilead Sciences,Biotechnology,"Foster City, California",False
Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia",False
Globe Life,Life & Health Insurance,"McKinney, Texas",False
Goldman Sachs,Investment Banking & Brokerage,"New York City, New York",False
Halliburton,Oil & Gas Equipment & Services,"Houston, Texas",False
Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut",False
Hasbro,Leisure Products,"Pawtucket, Rhode Island",False
HCA Healthcare,Health Care Facilities,"Nashville, Tennessee",False
Henry Schein,Health Care Distributors,"Melville, New York",False
Hershey's,Packaged Foods & Meats,"Hershey, Pennsylvania",False
Hess Corporation,Integrated Oil & Gas,"New York City, New York",False
Hilton Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",False
Hologic,Health Care Equipment,"Marlborough, Massachusetts",False
Home Depot (The),Home Improvement Retail,"Atlanta, Georgia",False
Honeywell,Industrial Conglomerates,"Charlotte, North Carolina",False
Hormel Foods,Packaged Foods & Meats,"Austin, Minnesota",False
Howmet Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania",False
Hubbell Incorporated,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",False
Humana,Managed Health Care,"Louisville, Kentucky",False
Huntington Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan",False
Huntington Ingalls Industries,Aerospace & Defense,"Newport News, Virginia",False
IDEX Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",False
Idexx Laboratories,Health Care Equipment,"Westbrook, Maine",False
Illinois Tool Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois",False
Illumina,Life Sciences Tools & Services,"San Diego, California",False
Incyte,Biotechnology,"Wilmington, Delaware",False
Ingersoll Rand,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",False
Insulet,Health Care Equipment,"Acton, Massachusetts",False
Intel,Semiconductors,"Santa Clara, California",False
Intercontinental Exchange,Financial Exchanges & Data,"Atlanta, Georgia",False
International Flavors & Fragrances,Specialty Chemicals,"New York City, New York",False
International Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",False
Interpublic Group of Companies (The),Advertising,"New York City, New York",False
Intuitive Surgical,Health Care Equipment,"Sunnyvale, California",False
Invesco,Asset Management & Custody Banks,"Atlanta, Georgia",False
IQVIA,Life Sciences Tools & Services,"Durham, North Carolina",False
J.B. Hunt,Cargo Ground Transportation,"Lowell, Arkansas",False
Jabil,Electronic Manufacturing Services,"St. Petersburg, Florida",False
Jack Henry & Associates,Transaction & Payment Processing Services,"Monett, Missouri",False
Jacobs Solutions,Construction & Engineering,"Dallas, Texas",False
Johnson & Johnson,Pharmaceuticals,"New Brunswick, New Jersey",False
Johnson Controls,Building Products,"Cork, Ireland",False
JPMorgan Chase,Diversified Banks,"New York City, New York",False
Juniper Networks,Communications Equipment,"Sunnyvale, California",False
Kellanova,Packaged Foods & Meats,"Chicago, Illinois",False
Kenvue,Personal Care Products,"Skillman, New Jersey",False
Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",False
KeyCorp,Regional Banks,"Cleveland, Ohio",False
Kimberly-Clark,Household Products,"Irving, Texas",False
Kinder Morgan,Oil & Gas Storage & Transportation,"Houston, Texas",False
KLA Corporation,Semiconductor Materials & Equipment,"Milpitas, California",False
Kraft Heinz,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",False
Kroger,Food Retail,"Cincinnati, Ohio",False
L3Harris,Aerospace & Defense,"Melbourne, Florida",False
LabCorp,Health Care Services,"Burlington, North Carolina",False
Lam Research,Semiconductor Materials & Equipment,"Fremont, California",False
Lamb Weston,Packaged Foods & Meats,"Eagle, Idaho",False
Las Vegas Sands,Casinos & Gaming,"Las Vegas, Nevada",False
Leidos,Diversified Support Services,"Reston, Virginia",False
Lennar,Homebuilding,"Miami, Florida",False
Linde plc,Industrial Gases,"Guildford, United Kingdom",False
Live Nation Entertainment,Movies & Entertainment,"Beverly Hills, California",False
LKQ Corporation,Distributors,"Chicago, Illinois",False
Lockheed Martin,Aerospace & Defense,"Bethesda, Maryland",False
Loews Corporation,Multi-line Insurance,"New York City, New York",False
Lowe's,Home Improvement Retail,"Mooresville, North Carolina",False
